證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","9625538","1143739838","118.00","119.50","117.90","119.50","2.9500","10809"
"0051","元大中型100","23695","1248066","52.50","52.80","52.50","52.70","0.7000","127"
"0052","富邦科技","386618","38782188","99.30","100.85","99.30","100.85","2.5500","553"
"0053","元大電子","10072","580068","57.45","57.70","57.45","57.70","1.2000","972"
"0055","元大MSCI金融","731618","16665972","22.62","22.89","22.62","22.88","0.3300","625"
"0056","元大高股息","22462110","645570365","28.54","28.87","28.54","28.87","0.4400","8745"
"0057","富邦摩台","3745","313918","83.60","84.60","83.60","84.60","2.2000","738"
"0061","元大寶滬深","147163","2880482","19.63","19.69","19.55","19.69","0.1400","31"
"006203","元大MSCI台灣","7156","407189","56.90","57.30","56.90","57.30","1.6000","843"
"006204","永豐臺灣加權","33054","2549602","76.65","77.35","76.65","77.35","1.4500","920"
"006205","富邦上証","318978","10399015","32.55","32.67","32.53","32.56","0.2000","218"
"006206","元大上證50","8945","279223","31.30","31.30","31.21","31.25","0.2300","882"
"006207","FH滬深","36157","935098","25.82","25.90","25.82","25.85","0.2200","960"
"006208","富邦台50","2427189","166105648","67.90","68.75","67.85","68.75","1.6500","3246"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","7522852","789733371","103.60","106.05","103.60","106.00","5.2500","3450"
"00632R","元大台灣50反1","299750980","1733653774","5.83","5.83","5.75","5.75","-0.1500","15860"
"00633L","富邦上証正2","4692999","198760481","42.37","42.66","41.96","42.04","0.1400","1045"
"00634R","富邦上証反1","893000","3916190","4.39","4.42","4.37","4.42","0.0000","59"
"00635U","期元大S&P黃金","345987","8152694","23.59","23.62","23.52","23.58","0.2600","209"
"00636","國泰中國A50","424434","9467980","22.39","22.39","22.20","22.24","0.0600","878"
"00636K","國泰中國A50+U","200","1486","7.43","7.43","7.43","7.43","0.0900","2"
"00637L","元大滬深300正2","40470903","678338651","16.75","16.89","16.60","16.63","0.0500","6378"
"00638R","元大滬深300反1","609175","5674496","9.35","9.36","9.28","9.35","-0.0600","49"
"00639","富邦深100","216527","3021240","13.81","14.00","13.81","13.90","0.1000","284"
"00640L","富邦日本正2","432500","12186395","27.95","28.24","27.95","28.21","0.4600","63"
"00641R","富邦日本反1","636000","6311330","9.96","9.98","9.91","9.91","-0.1100","87"
"00642U","期元大S&P石油","3918346","71489992","18.22","18.32","18.16","18.31","-0.4400","1423"
"00643","群益深証中小","460934","7679682","16.59","16.70","16.59","16.60","0.0800","997"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","140093","3593901","25.63","25.75","25.62","25.74","0.1500","36"
"00646","元大S&P500","1921500","73927895","38.33","38.51","38.33","38.47","0.1400","794"
"00647L","元大S&P500正2","195136","11735613","59.95","60.20","59.95","60.05","0.1000","58"
"00648R","元大S&P500反1","1173000","8342640","7.12","7.12","7.10","7.12","-0.0100","147"
"00650L","FH香港正2","2323120","35048529","15.10","15.29","14.95","15.00","0.0700","457"
"00651R","FH香港反1","113000","975480","8.60","8.70","8.56","8.70","0.0000","22"
"00652","富邦印度","257548","7449192","29.03","29.03","28.86","28.97","-0.1600","982"
"00653L","富邦印度正2","129195","5619875","43.90","44.01","43.30","43.49","0.0600","55"
"00654R","富邦印度反1","176100","1442072","8.20","8.21","8.18","8.18","-0.0600","61"
"00655L","國泰中國A50正2","1961320","59795536","30.47","30.74","30.20","30.27","0.1300","545"
"00656R","國泰中國A50反1","63000","524900","8.32","8.38","8.32","8.38","-0.0300","16"
"00657","國泰日經225","2942","95619","32.89","32.91","32.89","32.91","0.2000","932"
"00657K","國泰日經225+U","200","2194","10.97","10.97","10.97","10.97","0.0800","2"
"00660","元大歐洲50","16157","441795","27.34","27.42","27.34","27.42","0.1800","6"
"00661","元大日經225","18177","639932","35.06","35.22","35.06","35.22","0.0000","9"
"00662","富邦NASDAQ","918061","47355650","51.50","51.70","51.45","51.55","0.5000","574"
"00663L","國泰臺灣加權正2","69010","6534650","93.65","95.65","93.65","95.65","4.7000","37"
"00664R","國泰臺灣加權反1","18808343","123151735","6.60","6.61","6.52","6.52","-0.1800","1592"
"00665L","富邦恒生國企正2","5574000","54751200","9.82","9.99","9.71","9.74","0.0300","673"
"00666R","富邦恒生國企反1","154000","2320740","14.99","15.15","14.95","15.11","-0.0700","10"
"00668","國泰美國道瓊","16065","573096","35.61","35.69","35.61","35.69","-0.0300","26"
"00668K","國泰美國道瓊+U","300","3567","11.87","11.90","11.87","11.90","0.0200","3"
"00669R","國泰美國道瓊反1","2651100","21652306","8.17","8.18","8.16","8.16","-0.0200","168"
"00670L","富邦NASDAQ正2","2577897","199884656","77.30","77.70","77.30","77.55","1.3000","690"
"00671R","富邦NASDAQ反1","11536200","64889668","5.63","5.64","5.61","5.63","-0.0400","903"
"00673R","期元大S&P原油反1","51965892","448884114","8.65","8.68","8.60","8.61","0.1600","3587"
"00674R","期元大S&P黃金反1","1282260","16788473","13.09","13.11","13.06","13.10","-0.1400","281"
"00675L","富邦臺灣加權正2","1574926","64681364","40.64","41.53","40.62","41.50","1.9600","804"
"00676R","富邦臺灣加權反1","16832985","60438224","3.62","3.62","3.57","3.58","-0.0900","1027"
"00678","群益NBI生技","82972","2074280","24.91","25.07","24.91","25.01","0.5200","1005"
"00680L","元大美債20正2","639400","10208260","16.10","16.10","15.91","15.94","-0.0500","146"
"00681R","元大美債20反1","237000","3812030","16.07","16.09","16.06","16.09","-0.0300","25"
"00682U","期元大美元指數","22377","466539","20.83","20.88","20.83","20.86","-0.0800","18"
"00683L","期元大美元指正2","228000","5115780","22.48","22.48","22.41","22.48","-0.1900","102"
"00684R","期元大美元指反1","12000","192320","16.02","16.05","16.02","16.02","0.0400","7"
"00685L","群益臺灣加權正2","27000","985550","36.18","36.89","36.18","36.88","1.6300","16"
"00686R","群益臺灣加權反1","2224000","8661490","3.93","3.93","3.88","3.89","-0.0900","97"
"00688L","國泰20年美債正2","429000","6818460","15.94","15.94","15.86","15.87","-0.0500","61"
"00689R","國泰20年美債反1","12000","201120","16.76","16.76","16.76","16.76","0.0000","1"
"00690","兆豐藍籌30","110372","3203018","28.95","29.05","28.95","29.03","0.6900","686"
"00692","富邦公司治理","1373997","40329142","29.00","29.50","29.00","29.49","0.6500","1093"
"00693U","期街口S&P黃豆","262982","6703367","25.36","25.63","25.33","25.60","1.0700","101"
"00700","富邦恒生國企","160434","2104140","13.08","13.20","13.07","13.10","0.0600","27"
"00701","國泰股利精選30","1268143","31110600","24.48","24.59","24.45","24.58","0.3400","677"
"00702","國泰標普低波高息","220298","4742544","21.54","21.54","21.53","21.53","-0.1200","1013"
"00703","台新MSCI中國","16984","274331","16.24","16.24","16.10","16.10","0.1100","14"
"00706L","期元大S&P日圓正2","1382300","14669537","10.59","10.65","10.57","10.58","0.0700","252"
"00707R","期元大S&P日圓反1","1000","23600","23.60","23.60","23.60","23.60","-0.0800","1"
"00708L","期元大S&P黃金正2","949430","23710169","25.05","25.05","24.89","24.93","0.4300","300"
"00709","富邦歐洲","65237","1414762","21.64","21.70","21.64","21.70","0.1000","43"
"00710B","FH彭博非投等債","438358","7859695","17.90","17.95","17.90","17.91","0.0300","97"
"00711B","FH彭博新興債","126020","2127126","16.86","16.89","16.86","16.89","0.0700","14"
"00712","FH富時不動產","914089","11156867","12.20","12.23","12.17","12.21","-0.0100","698"
"00713","元大台灣高息低波","505842","20593699","40.63","40.80","40.56","40.80","0.5400","571"
"00714","群益道瓊美國地產","244783","5148188","21.05","21.05","21.00","21.02","-0.0100","201"
"00715L","期街口布蘭特正2","37050635","654719197","17.66","17.86","17.54","17.76","-1.0200","6952"
"00717","富邦美國特別股","529337","8459424","16.00","16.00","15.97","15.97","-0.0300","238"
"00728","第一金工業30","276160","6315737","22.59","22.92","22.59","22.92","0.5100","285"
"00730","富邦臺灣優質高息","94500","1645709","17.38","17.47","17.36","17.47","0.2600","140"
"00731","FH富時高息低波","1073830","62156155","57.70","58.00","57.70","57.95","0.6500","158"
"00732","國泰RMB短期報酬","110000","4537300","41.23","41.25","41.23","41.25","0.0400","5"
"00733","富邦臺灣中小","168521","5653182","33.50","33.69","33.44","33.67","0.6600","214"
"00735","國泰臺韓科技","103594","2706962","25.94","26.14","25.94","26.04","0.4900","8"
"00736","國泰新興市場","102147","1975133","19.34","19.38","19.34","19.38","0.2400","853"
"00737","國泰AI+Robo","180596","5039602","27.90","27.95","27.88","27.91","0.1600","941"
"00738U","期元大道瓊白銀","1164704","23817225","20.44","20.52","20.39","20.49","0.2300","265"
"00739","元大MSCI A股","12344","300144","24.34","24.55","24.31","24.55","0.2300","976"
"00743","國泰中國A150","976","24420","","","","","0.0000","954"
"00752","中信中國50","1117462","20524253","18.41","18.51","18.27","18.30","0.0200","473"
"00753L","中信中國50正2","4165687","53486795","12.89","13.01","12.70","12.72","0.0600","1100"
"00757","統一FANG+","1037831","42977740","41.22","41.51","41.22","41.40","0.5500","821"
"00762","元大全球AI","192122","6814948","35.45","35.51","35.44","35.49","0.4200","185"
"00763U","期街口道瓊銅","134043","3023809","22.55","22.73","22.54","22.68","0.4500","21"
"00770","國泰北美科技","101512","3316147","32.68","32.68","32.63","32.63","0.3300","909"
"00771","元大US高息特別股","148529","2666869","17.97","17.98","17.90","17.96","0.0400","1156"
"00774B","新光中國政金綠債","2000","83700","41.85","41.85","41.85","41.85","0.0000","2"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","51015","1851669","36.13","36.30","36.13","36.30","-0.2200","4"
"00783","富邦中証500","125044","2660999","21.31","21.31","21.25","21.25","0.2400","955"
"008201","BP上證50","3000","309715","103.50","103.50","103.05","103.10","0.8500","8"
"00830","國泰費城半導體","6239823","167550295","26.82","26.89","26.82","26.86","0.4000","2883"
"00850","元大臺灣ESG永續","807037","25231875","31.12","31.45","31.11","31.44","0.7100","509"
"00851","台新全球AI","13118","362189","27.62","27.70","27.62","27.68","0.4900","979"
"00852L","國泰美國道瓊正2","181200","3484980","19.20","19.26","19.20","19.25","0.0000","54"
"00861","元大全球未來通訊","306620","8734000","28.41","28.53","28.41","28.51","0.2400","237"
"00865B","國泰US短期公債","101761","3972057","39.04","39.09","39.04","39.09","0.0200","751"
"00875","國泰網路資安","195875","5364124","27.37","27.42","27.34","27.40","-0.0200","131"
"00876","元大全球5G","800083","21499948","26.70","26.96","26.70","26.92","0.4900","371"
"00878","國泰永續高股息","34827756","589987306","16.86","17.00","16.86","16.97","0.2000","12836"
"00881","國泰台灣5G+","13331143","197889838","14.72","14.92","14.71","14.90","0.3500","4394"
"00882","中信中國高股息","11200148","129847755","11.55","11.63","11.53","11.59","0.0700","3467"
"00885","富邦越南","7737431","112107390","14.45","14.52","14.45","14.49","0.0400","2462"
"00891","中信關鍵半導體","14341952","171119211","11.78","12.02","11.78","12.02","0.4100","3703"
"00892","富邦台灣半導體","5800423","62284709","10.66","10.81","10.66","10.81","0.2600","1234"
"00893","國泰智能電動車","23299427","337999938","14.47","14.54","14.46","14.49","0.2200","6055"
"00894","中信小資高價30","1991537","23585735","11.68","11.90","11.68","11.88","0.3700","538"
"00895","富邦未來車","4794967","73231609","15.20","15.30","15.20","15.28","0.2000","1699"
"00896","中信綠能及電動車","1675634","22453738","13.28","13.44","13.28","13.44","0.2700","592"
"00897","富邦基因免疫生技","3415921","36510220","10.60","10.72","10.60","10.70","0.2400","653"
"00898","國泰基因免疫革命","2265755","18747662","8.20","8.30","8.20","8.27","0.1600","706"
"00899","FT潔淨能源","682343","16665552","24.58","24.58","24.33","24.36","0.4700","235"
"00900","富邦特選高股息30","26889664","328107693","12.13","12.26","12.13","12.21","0.1100","6760"
"00901","永豐智能車供應鏈","732045","9157378","12.40","12.57","12.40","12.56","0.3000","317"
"00902","中信電池及儲能","3625401","52085236","14.30","14.43","14.30","14.31","0.0700","928"
"00903","富邦元宇宙","3392198","37359535","10.98","11.04","10.98","10.99","0.1200","1060"
"00904","新光臺灣半導體30","971366","10962002","11.19","11.36","11.18","11.35","0.3500","351"
"00905","FT臺灣Smart","1744116","15436980","8.81","8.90","8.81","8.88","0.1800","379"
"00906","大華元宇宙科技50","393070","3961602","10.00","10.16","9.98","10.15","0.1900","125"
"00907","永豐優息存股","872678","12713979","14.47","14.63","14.47","14.62","0.2400","336"
"00908","富邦入息REITs+","833101","12552288","15.11","15.11","15.05","15.08","-0.0200","139"
"00909","國泰數位支付服務","822305","15127449","18.41","18.42","18.38","18.39","0.3100","316"
"00910","第一金太空衛星","92111","1465057","15.96","15.96","15.87","15.89","-0.1000","54"
"00911","兆豐洲際半導體","693100","11709472","16.90","16.91","16.86","16.90","0.2400","246"
"00912","中信臺灣智慧50","2447543","36468559","14.73","14.97","14.73","14.97","0.4300","473"
"01001T","土銀富邦R1","1000","16800","16.80","16.80","16.80","16.80","0.0500","1"
"01002T","土銀國泰R1","62000","1115170","17.99","17.99","17.97","17.99","0.0000","18"
"01003T","兆豐新光R1","91000","1806350","19.85","19.85","19.85","19.85","0.0000","8"
"01004T","土銀富邦R2","55000","868950","15.80","15.80","15.79","15.79","0.0000","8"
"01007T","兆豐國泰R2","21000","388500","18.50","18.50","18.50","18.50","0.0000","6"
"01009T","王道圓滿R1","5000","44850","8.97","8.97","8.97","8.97","0.0000","1"
"01010T","京城樂富R1","20375","207879","10.19","10.23","10.19","10.23","0.0000","10"
"020000","富邦特選蘋果N","12000","78370","6.53","6.54","6.53","6.54","0.1100","3"
"020002","元富新中國N","2000","26740","13.37","13.37","13.37","13.37","0.0700","1"
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020011","統一微波高息20N","","","","","","","0.0000",""
"020012","富邦行動通訊N","8000","55760","6.97","6.97","6.97","6.97","0.0000","1"
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","","","","","","","0.0000",""
"020018","統一價值成長30N","10000","138180","13.77","13.88","13.77","13.88","0.2400","4"
"020019","統一特選台灣5GN","","","","","","","0.0000",""
"02001L","富邦蘋果正二N","186000","1639640","8.77","8.83","8.77","8.81","0.2000","7"
"02001R","富邦蘋果反一N","69000","216080","3.15","3.15","3.13","3.13","-0.0600","3"
"020020","元大台股領航N","777000","5175060","6.59","6.67","6.59","6.67","0.1300","40"
"020022","元大電動車N","1051000","5274210","4.96","5.03","4.96","5.02","0.0600","109"
"020028","元大特選電動車N","155000","749580","4.68","4.85","4.68","4.83","0.0500","39"
"020029","元大ESG高股息N","150000","668840","4.44","4.49","4.43","4.49","0.1100","53"
"020030","統一智慧電動車N","260000","1003380","3.79","3.87","3.79","3.87","0.0800","31"
"020031","統一IC設計臺灣N","359000","1205810","3.36","3.38","3.31","3.37","0.0700","56"
"020032","元大綠能N","160000","744560","4.63","4.67","4.63","4.67","0.0900","37"
"020034","元大IC設計N","885000","3452960","3.86","3.92","3.86","3.92","0.1200","63"
"1101","台泥","11583378","450508108","39.10","39.15","38.80","38.85","0.1000","8390"
"1101B","台泥乙特","2000","100300","50.10","50.20","50.10","50.20","0.0000","2"
"1102","亞泥","4858636","198658372","41.15","41.20","40.70","40.95","0.2500","3576"
"1103","嘉泥","382323","6701393","17.45","17.65","17.45","17.55","0.2500","157"
"1104","環泥","292617","6326790","21.70","21.70","21.55","21.60","-0.0500","203"
"1108","幸福","113006","1211863","10.75","10.80","10.65","10.75","0.1000","75"
"1109","信大","205547","3735471","18.15","18.25","18.10","18.15","0.0000","93"
"1110","東泥","59011","1062096","17.95","18.10","17.95","17.95","0.0500","40"
"1201","味全","656981","12978526","19.75","19.85","19.70","19.75","0.0000","513"
"1203","味王","5069","169319","33.20","33.50","33.20","33.45","0.2500","26"
"1210","大成","498254","23587351","47.30","47.55","47.20","47.35","0.1500","598"
"1213","大飲","78000","602340","7.32","7.90","7.32","7.73","0.3500","44"
"1215","卜蜂","179873","14059951","77.50","78.50","77.50","78.40","0.9000","272"
"1216","統一","5013253","330219494","66.40","66.40","65.40","65.80","0.7000","2879"
"1217","愛之味","2508319","24561717","9.70","9.85","9.70","9.80","0.1300","1244"
"1218","泰山","406300","12422861","30.65","31.00","30.30","30.50","0.0000","368"
"1219","福壽","1238299","25334128","20.20","20.65","20.20","20.50","0.5000","461"
"1220","台榮","530562","8444920","15.70","16.05","15.70","16.05","0.5500","303"
"1225","福懋油","9374","474469","51.00","51.00","50.50","50.50","0.2000","33"
"1227","佳格","519719","21358998","40.95","41.30","40.90","41.15","0.2000","418"
"1229","聯華","1441485","82265797","56.40","57.70","56.20","57.60","1.2000","975"
"1231","聯華食","162583","12417505","74.90","77.00","74.90","76.40","1.5000","523"
"1232","大統益","26433","4066567","153.00","154.50","153.00","154.50","0.0000","175"
"1233","天仁","8002","277668","34.70","34.70","34.70","34.70","0.1500","5"
"1234","黑松","102864","3453022","33.70","33.70","33.40","33.60","0.1000","72"
"1235","興泰","28635","1733344","60.20","61.00","60.00","60.50","0.0000","31"
"1236","宏亞","1411035","38527214","26.00","27.95","26.00","27.00","1.3500","961"
"1256","鮮活果汁-KY","31926","8103014","256.00","260.00","248.50","260.00","1.5000","447"
"1301","台塑","7456553","680260032","91.80","91.80","90.90","91.00","0.1000","3993"
"1303","南亞","5811571","393263869","67.90","68.00","67.40","67.60","0.3000","3313"
"1304","台聚","3436099","73003787","21.15","21.45","21.05","21.30","0.0500","1643"
"1305","華夏","2154904","49076772","22.65","23.00","22.60","22.85","0.1000","1186"
"1307","三芳","36137","707441","19.50","19.65","19.50","19.60","0.1000","33"
"1308","亞聚","1046458","26139284","24.70","25.15","24.70","25.10","0.6500","789"
"1309","台達化","792872","17419671","21.70","22.20","21.65","22.05","0.2000","555"
"1310","台苯","293113","3968354","13.45","13.60","13.40","13.55","0.1500","240"
"1312","國喬","2191696","42496645","19.20","19.50","19.20","19.40","0.1500","774"
"1312A","國喬特","","","","","","","0.0000",""
"1313","聯成","4611949","61716008","13.30","13.60","13.20","13.40","-0.1500","2256"
"1314","中石化","7077961","71001664","10.05","10.10","9.99","10.05","0.1100","1304"
"1315","達新","26110","1771039","67.70","68.30","67.70","67.70","0.0000","138"
"1316","上曜","1165612","16863745","14.30","14.60","14.25","14.50","0.3000","511"
"1319","東陽","6690069","327568182","49.10","49.65","48.55","48.90","-0.2000","3898"
"1321","大洋","1806350","64538883","33.75","37.00","33.75","36.50","2.8500","893"
"1323","永裕","94487","3217962","34.00","34.15","33.95","34.15","0.2500","57"
"1324","地球","29184","309807","10.60","10.70","10.55","10.65","0.0000","21"
"1325","恆大","262173","6326322","23.60","24.55","23.60","24.50","1.0500","192"
"1326","台化","2785081","193145142","69.90","69.90","69.00","69.10","0.1000","1358"
"1337","再生-KY","109728","669840","6.05","6.13","6.05","6.12","0.0400","69"
"1338","廣華-KY","107008","5912144","54.90","55.50","54.70","55.30","0.5000","98"
"1339","昭輝","526281","22247368","41.60","42.80","41.10","42.70","1.9000","377"
"1340","勝悅-KY","66910","671153","9.98","10.10","9.91","10.10","0.1200","82"
"1341","富林-KY","3002","199836","66.70","66.70","66.50","66.50","0.5000","5"
"1342","八貫","63984","4228423","65.70","66.50","65.60","66.20","0.8000","56"
"1402","遠東新","8454895","250442978","29.75","29.85","29.45","29.65","0.1500","2453"
"1409","新纖","1163078","21108653","18.10","18.20","18.10","18.15","0.1500","537"
"1410","南染","121980","4100784","33.60","34.30","33.40","33.50","0.1500","109"
"1413","宏洲","3858760","42539086","10.70","11.20","10.50","11.20","1.0000","1065"
"1414","東和","92172","1499236","16.40","16.40","16.15","16.30","0.1000","69"
"1416","廣豐","85301","877786","10.30","10.30","10.25","10.25","0.0500","54"
"1417","嘉裕","197277","2010422","10.00","10.25","10.00","10.25","0.1500","95"
"1418","東華","152121","2591190","15.95","17.40","15.95","16.55","0.6500","74"
"1419","新紡","82012","3323731","40.60","40.75","40.40","40.70","0.3500","38"
"1423","利華","64203","1206090","18.85","18.85","18.70","18.70","0.1000","31"
"1432","大魯閣","209685","2562213","12.15","12.35","12.15","12.30","0.1500","206"
"1434","福懋","939337","24279694","25.80","25.95","25.70","25.95","0.3500","617"
"1435","中福","14818","766045","53.20","53.20","51.20","51.30","-3.7000","74"
"1436","華友聯","45853","2653920","57.80","58.20","57.60","58.00","-0.1000","56"
"1437","勤益控","121364","3001135","24.65","24.90","24.60","24.85","0.2000","67"
"1438","三地開發","183312","6023668","32.60","33.15","32.55","33.00","0.5000","98"
"1439","中和","7182","143634","19.70","20.35","19.70","20.10","0.4000","9"
"1440","南紡","773096","13535687","17.25","17.60","17.25","17.55","0.4500","452"
"1441","大東","59748","485211","8.07","8.20","8.07","8.08","0.0000","63"
"1442","名軒","40040","885588","22.20","22.20","22.00","22.15","0.0500","33"
"1443","立益","13012","212692","16.40","16.40","16.20","16.35","0.1000","20"
"1444","力麗","726561","7433147","10.10","10.30","10.10","10.25","0.1500","284"
"1445","大宇","74081","1135553","15.40","15.40","15.25","15.40","0.1000","28"
"1446","宏和","98100","3099663","31.55","31.70","31.50","31.60","0.1500","56"
"1447","力鵬","1290824","10474314","7.95","8.19","7.95","8.02","0.0900","475"
"1449","佳和","25018","229943","9.09","9.30","9.09","9.19","0.1000","31"
"1451","年興","218987","5041658","22.90","23.20","22.90","22.90","-0.0500","139"
"1452","宏益","83091","1528775","18.20","18.50","18.20","18.50","0.2000","80"
"1453","大將","2204036","44608973","20.00","20.70","19.85","20.15","0.6000","1225"
"1454","台富","198116","2679815","13.60","13.65","13.45","13.45","0.1500","139"
"1455","集盛","2079576","23176142","11.05","11.25","11.05","11.20","0.3000","530"
"1456","怡華","42000","705450","16.65","16.95","16.65","16.85","-0.0500","19"
"1457","宜進","297026","5113247","17.00","17.35","17.00","17.15","0.1000","163"
"1459","聯發","716661","6823936","9.20","9.69","9.20","9.59","0.3900","255"
"1460","宏遠","409101","2941269","7.20","7.21","7.17","7.20","0.0700","167"
"1463","強盛","57089","789477","13.80","13.85","13.75","13.85","0.0500","26"
"1464","得力","333066","4811587","14.45","14.55","14.30","14.45","0.2500","186"
"1465","偉全","148105","1916580","12.75","13.15","12.75","12.85","0.2500","92"
"1466","聚隆","140223","1774676","12.40","12.80","12.40","12.80","0.4000","48"
"1467","南緯","1528443","18691671","12.25","12.35","12.10","12.15","0.0000","261"
"1468","昶和","77006","967224","12.65","12.65","12.45","12.65","0.0000","54"
"1470","大統新創","27040","524104","19.00","19.65","18.90","19.45","0.6500","22"
"1471","首利","2352592","22252931","9.35","9.68","9.29","9.38","0.1300","1045"
"1472","三洋實業","29233","501642","17.00","17.40","16.75","17.30","0.3000","19"
"1473","台南","1366053","30953639","21.95","23.20","21.95","22.60","0.6500","819"
"1474","弘裕","647231","7645926","11.50","11.95","11.50","11.95","0.5000","224"
"1475","業旺","56513","3241238","57.00","59.20","56.50","56.90","0.8000","50"
"1476","儒鴻","2142361","958448931","429.00","457.00","427.50","448.00","30.0000","2113"
"1477","聚陽","9473156","1538281687","157.00","166.00","156.00","162.50","10.5000","9180"
"1503","士電","535367","32908489","61.40","62.60","60.60","61.90","0.8000","442"
"1504","東元","1313738","37333117","28.40","28.55","28.25","28.55","0.4500","621"
"1506","正道","195282","2751148","14.40","14.50","13.80","14.05","0.0000","118"
"1512","瑞利","151026","567908","3.62","3.77","3.62","3.75","0.1500","57"
"1513","中興電","9614601","554313573","57.40","58.20","57.20","57.70","0.4000","5446"
"1514","亞力","4085207","140288075","33.95","34.65","33.75","34.65","1.0500","2467"
"1515","力山","827098","25848865","31.20","31.70","30.90","31.20","0.1500","569"
"1516","川飛","110628","2646220","23.95","24.25","23.75","24.00","0.1500","94"
"1517","利奇","1202824","27471365","22.35","23.10","22.30","23.10","1.0500","695"
"1519","華城","203986","7386406","35.70","36.35","35.70","36.35","0.7000","170"
"1521","大億","17101","604285","35.90","35.90","35.10","35.25","0.7500","19"
"1522","堤維西","17664544","545119237","29.75","31.35","29.75","31.30","1.3000","9199"
"1522A","堤維西甲特","1000","44900","44.90","44.90","44.90","44.90","0.0000","1"
"1524","耿鼎","59206569","1469935051","24.25","25.30","24.20","24.95","0.8000","22147"
"1525","江申","55023","3190742","58.60","58.70","57.70","58.20","0.8000","29"
"1526","日馳","370093","16012399","42.60","43.75","42.30","43.70","1.7000","313"
"1527","鑽全","168502","7026056","41.50","41.85","41.50","41.70","0.4000","134"
